react_id,kappmax_davidi_per_pp_per_s_ensemble_model,kappmax_davidi_per_pp_per_s_median_imputed,kappmax_KO_ALE_davidi_per_pp_per_s_ensemble_model,kappmax_KO_ALE_davidi_per_pp_per_s_median_imputed,kappmax_KO_ALE_per_pp_per_s_ensemble_model,kappmax_KO_ALE_per_pp_per_s_median_imputed,kcat_in_vitro_per_s_ensemble_model,kcat_in_vitro_per_s_median_imputed
ALLULPE,6.28541484216153,6.2,7.0100863743819,4.2,4.15488264573552,3.2680205804032,10.414807922478,16.616666665
ALLULPE_b,6.76174231865367,6.2,8.62007041767261,4.2,3.40248758445105,3.2680205804032,11.04032402678,16.616666665
ALPATE160pp,4.68212002404009,6.2,5.51015809942923,4.2,2.40465094519416,3.2680205804032,8.2317671256131,16.616666665
ALPATG160pp,4.68212002404009,6.2,5.51015809942923,4.2,2.40465094519416,3.2680205804032,8.2317671256131,16.616666665
ALR2,4.08468301259568,6.2,7.21837245614033,4.2,2.43832162676818,3.2680205804032,13.2603446263913,16.616666665
ALR2x,6.59176731115113,6.2,7.34603584029288,4.2,2.73146476099601,3.2680205804032,22.7444198968147,16.616666665
ALR4x,5.57578446639097,6.2,5.94746483433418,4.2,2.49900467470292,3.2680205804032,8.24587136945753,16.616666665
ALTRH,12.3178693459267,6.2,7.66113765671388,4.2,2.85554020327234,3.2680205804032,62.5135497275639,16.616666665
AM3PA,4.65164163581226,6.2,7.55355587820654,4.2,3.05165504228522,3.2680205804032,39.4091293714798,16.616666665
AM4PA,4.65164163581226,6.2,7.55355587820654,4.2,3.05165504228522,3.2680205804032,39.4091293714798,16.616666665
AM4PCP,4.18551058916766,6.2,17.9131183641197,4.2,3.73361312954748,3.2680205804032,61.045545443396,16.616666665
AMALT1,9.13810140995487,6.2,8.1445963560195,4.2,2.54996445168152,3.2680205804032,7.85521918681811,16.616666665
AMALT2,9.13810140995487,6.2,8.1445963560195,4.2,2.54996445168152,3.2680205804032,7.85521918681811,16.616666665
